Sample ID,Lithological descripton,"Packing (Embry & Klovan, 1971)",Calcite (%),MgCO3 in dolomite (%mol),Sr(ppm),IC (%Wt),Ti(ppm),Zr(ppm),Mn(ppm),V/Cr,Ni/Co,Ce/Ce*,δ13C (VPDB),1σ,δ18O (VPDB) ,1σ,87Sr/86Sr Initial Value,1 SE,δ26MgDSM3,2σ,δ25MgDSM3,2σ
MG55,dolomite,floatstone,0.00,51.47,125.62,,860.73,27.17,534.98,3.63,7.68,1.33,0.85,0.07,-2.10,0.06,0.707247,5,-1.80,0.03,-0.93,0.01
MG54,Marly dolomite,mudstone,0.00,53.47,107.99,,616.79,41.15,356.50,3.56,10.41,1.41,0.51,0.14,0.91,0.14,0.707095,5,-1.95,0.04,-1.02,0.02
MG53,dolomite,wackestone,0.00,51.50,125.79,,584.84,41.40,423.47,4.29,6.39,1.33,1.05,0.08,0.61,0.05,0.707265,5,-1.72,0.05,-0.90,0.06
MG52,Marly dolomite,mudstone,0.00,53.37,123.71,,922.59,68.38,455.29,2.47,5.32,1.45,0.15,0.09,1.12,0.08,0.706308,3,-1.79,0.03,-0.93,0.03
MG51,marl,mudstone,,,146.89,,3965.88,154.40,168.16,2.02,4.23,0.78,-5.33,0.54,-4.68,0.42,0.708654,4,,,,
MG50,Dolomite,sparstone,0.00,51.53,128.16,,860.71,68.43,775.88,1.36,12.97,1.29,0.14,0.10,1.47,0.08,0.706527,6,-1.95,0.16,-1.01,0.13
MG49,Dolomite,sparstone,0.00,51.00,171.56,,1096.24,96.55,689.22,1.85,4.77,1.33,-0.33,0.10,1.69,0.10,0.706813,4,-2.16,0.01,-1.12,0.03
MG48,Dolomite,floatstone,0.00,51.10,163.44,,666.22,49.31,638.11,1.78,11.02,1.36,-1.09,0.11,1.30,0.06,0.706424,5,-1.90,0.04,-0.99,0.02
MG47,Dolomite,mudstone,0.00,51.13,243.42,,907.21,31.52,1262.87,3.69,5.60,1.42,-5.33,0.06,1.22,0.09,0.708469,2,-2.08,0.07,-1.06,0.04
MG46,Dolomite,sparstone,0.00,51.53,108.59,,642.54,23.29,680.38,3.61,11.39,1.30,-0.02,0.06,0.63,0.05,0.707278,4,-1.90,0.03,-0.99,0.06
MG45,Dolomite,mudstone,0.00,50.43,173.58,,681.74,43.30,973.91,3.16,3.63,1.28,-1.01,0.16,1.14,0.13,0.707196,4,-2.00,0.00,-1.04,0.02
MG44,Dolomite,mudstone,0.00,48.33,179.39,,1186.91,40.68,989.74,3.58,6.04,1.30,-0.99,0.12,1.45,0.08,0.707193,4,-2.03,0.01,-1.04,0.04
MG43,Dolomite,mudstone,0.00,48.17,197.89,,928.89,75.72,987.75,3.21,11.23,1.32,-1.62,0.09,1.73,0.08,0.707104,5,-1.95,0.03,-1.01,0.05
MG42,Dolomite,mudstone,0.00,51.00,138.56,,942.35,36.48,654.70,3.15,5.77,1.44,0.68,0.09,1.60,0.10,0.707003,4,-1.95,0.13,-1.01,0.05
MG41,Dolomite,mudstone,0.00,50.93,172.84,,951.99,39.98,509.83,2.85,6.00,1.44,1.33,0.10,1.48,0.13,0.707266,4,-1.99,0.00,-1.02,0.01
MG40,Dolomite,sparstone,0.17,47.83,250.28,12.84,246.80,3.20,873.76,1.24,14.04,0.67,0.81,0.07,0.24,0.03,0.707533,4,-2.02,0.06,-1.04,0.01
MG39,Dolomite,mudstone,0.00,48.17,253.94,,722.90,51.01,1311.05,1.64,12.45,1.27,2.35,0.10,-0.60,0.08,0.708310,6,-2.11,0.03,-1.08,0.07
MG38,Dolomitic Limestone,mudstone,0.76,47.90,144.07,13.00,465.94,9.45,537.80,0.92,9.97,0.39,-0.49,0.09,-6.43,0.08,0.707865,4,,,,
MG37,Dolomitic Limestone,wackestone,0.47,47.90,212.24,12.30,210.47,3.25,673.46,1.03,8.90,,0.85,0.08,-4.02,0.07,0.707729,6,,,,
MG36,Marly dolomite,mudstone,0.00,50.70,162.23,,1175.73,48.16,632.70,1.13,4.11,1.32,3.13,0.16,-1.17,0.14,0.706993,4,-1.95,0.08,-0.99,0.04
MG35,Marly dolomite,mudstone,0.00,47.87,206.40,,742.35,32.03,513.90,1.73,6.46,1.26,2.97,0.05,-0.24,0.04,0.707191,5,-1.92,0.00,-0.96,0.01
MG34,Marly dolomite,mudstone,0.00,48.00,198.94,,690.07,27.89,523.99,1.62,6.32,1.21,2.93,0.11,-0.20,0.09,0.707208,5,-1.95,0.02,-1.02,0.03
MG33,Marly dolomite,mudstone,0.00,48.17,270.13,,714.23,50.36,803.12,0.80,4.54,1.33,2.42,0.13,-0.38,0.12,0.706932,4,-2.08,0.01,-1.10,0.03
MG32,Marly limestone,mudstone,0.47,48.10,199.95,9.22,919.60,26.83,523.03,1.45,9.56,1.14,-0.98,0.10,-3.19,0.11,0.707843,5,,,,
MG31,Marly dolomite,mudstone,0.03,47.83,196.27,,1094.53,22.83,804.46,1.73,7.62,1.08,2.71,0.11,-0.75,0.05,0.707245,4,-1.91,0.09,-0.99,0.02
MG30,Limestone,wackestone,1.00,,234.40,,152.22,2.61,473.07,1.78,24.24,0.70,0.42,0.08,-7.30,0.09,0.707752,3,,,,
MG29,Limestone,wackestone,1.00,,261.48,,348.00,6.68,342.01,1.67,21.78,0.91,1.11,0.13,-6.58,0.09,0.707658,3,,,,
